run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2024-03-11_11.04.26,P-1,2612,8245,3,0.09249639220459097,"[{'start_idx': 1890, 'end_idx': 2099, 'score': 2.507903218307344}, {'start_idx': 3290, 'end_idx': 3359, 'score': 2.5424604849171044}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.66048046976317}, {'start_idx': 3430, 'end_idx': 3499, 'score': 2.8115444741938953}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.9624062748026623}, {'start_idx': 4340, 'end_idx': 4409, 'score': 0.9310208729401036}]",0,0,3,[],"[(2140, 2349), (3540, 3749), (4520, 4659)]",3,"[{'start_idx': 1890, 'end_idx': 2099, 'score': 2.507903218307344}, {'start_idx': 3290, 'end_idx': 3359, 'score': 2.5424604849171044}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.66048046976317}, {'start_idx': 3430, 'end_idx': 3499, 'score': 2.8115444741938953}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.9624062748026623}, {'start_idx': 4340, 'end_idx': 4409, 'score': 0.9310208729401036}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2024-03-11_11.04.26,S-1,2558,7071,1,0.17796487142319817,"[{'start_idx': 3640, 'end_idx': 3640, 'score': 0.951012058306415}, {'start_idx': 5040, 'end_idx': 5109, 'score': 1.854245921740957}, {'start_idx': 5110, 'end_idx': 5179, 'score': 5.5102609840081165}, {'start_idx': 5180, 'end_idx': 5249, 'score': 6.486435188275378}, {'start_idx': 5250, 'end_idx': 5319, 'score': 6.484069743387316}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.738892465475099}]",0,0,1,[],"[(5290, 5639)]",1,"[{'start_idx': 3640, 'end_idx': 3640, 'score': 0.951012058306415}, {'start_idx': 5040, 'end_idx': 5109, 'score': 1.854245921740957}, {'start_idx': 5110, 'end_idx': 5179, 'score': 5.5102609840081165}, {'start_idx': 5180, 'end_idx': 5249, 'score': 6.486435188275378}, {'start_idx': 5250, 'end_idx': 5319, 'score': 6.484069743387316}, {'start_idx': 5320, 'end_idx': 5389, 'score': 5.738892465475099}]",SMAP,"[[5300, 5747]]",[point]
2024-03-11_11.04.26,E-1,2620,8256,3,0.07409716577997712,"[{'start_idx': 1505, 'end_idx': 1744, 'score': 3.389188093205376}, {'start_idx': 4760, 'end_idx': 4829, 'score': 7.53384317397493}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.592459872021824}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.379089311595542}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.512505214634613}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.667480187411632}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.293785720324443}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.944989214367464}, {'start_idx': 5670, 'end_idx': 5718, 'score': 7.283040433054501}]",1,0,2,"[[1755, 1994]]","[(5010, 5149), (5570, 5968)]",2,"[{'start_idx': 1505, 'end_idx': 1744, 'score': 3.389188093205376}, {'start_idx': 4760, 'end_idx': 4829, 'score': 7.53384317397493}, {'start_idx': 4830, 'end_idx': 4899, 'score': 5.592459872021824}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.379089311595542}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.512505214634613}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.667480187411632}, {'start_idx': 5530, 'end_idx': 5599, 'score': 9.293785720324443}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.944989214367464}, {'start_idx': 5670, 'end_idx': 5718, 'score': 7.283040433054501}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2024-03-11_11.04.26,E-2,2620,8272,1,0.06493684757193312,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.234293391103431}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.132450382509006}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.624126855785572}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.84586830791517}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.464417631802652}]",0,0,1,[],"[(5570, 5919)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.234293391103431}, {'start_idx': 5390, 'end_idx': 5459, 'score': 5.132450382509006}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.624126855785572}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.84586830791517}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.464417631802652}]",SMAP,"[[5598, 6995]]",[point]
2024-03-11_11.04.26,E-3,2620,8047,2,0.023000697835808624,"[{'start_idx': 1521, 'end_idx': 1814, 'score': 1.4465167565643082}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.624688698563388}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.269587876266878}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.3888822716991096}]",1,0,1,"[[1771, 2064]]","[(5570, 5779)]",1,"[{'start_idx': 1521, 'end_idx': 1814, 'score': 1.4465167565643082}, {'start_idx': 5320, 'end_idx': 5389, 'score': 3.624688698563388}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.269587876266878}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.3888822716991096}]",SMAP,"[[5094, 8306]]",[point]
2024-03-11_11.04.26,E-4,2620,8094,3,0.0547926027650362,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 1.9674901535753972}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8760505986245127}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9791688177750878}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9678735629269308}, {'start_idx': 5600, 'end_idx': 5632, 'score': 0.8084212641665571}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.2658747937329602}, {'start_idx': 5740, 'end_idx': 5809, 'score': 1.2014930008693319}, {'start_idx': 5810, 'end_idx': 5851, 'score': 0.9243042645851313}, {'start_idx': 5880, 'end_idx': 5949, 'score': 1.1130069377045904}]",0,0,1,[],"[(5570, 5882), (5920, 6101), (6130, 6199)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 1.9674901535753972}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8760505986245127}, {'start_idx': 5460, 'end_idx': 5529, 'score': 0.9791688177750878}, {'start_idx': 5530, 'end_idx': 5599, 'score': 0.9678735629269308}, {'start_idx': 5600, 'end_idx': 5632, 'score': 0.8084212641665571}, {'start_idx': 5670, 'end_idx': 5739, 'score': 1.2658747937329602}, {'start_idx': 5740, 'end_idx': 5809, 'score': 1.2014930008693319}, {'start_idx': 5810, 'end_idx': 5851, 'score': 0.9243042645851313}, {'start_idx': 5880, 'end_idx': 5949, 'score': 1.1130069377045904}]",SMAP,"[[5450, 8261]]",[point]
2024-03-11_11.04.26,E-5,2620,8034,1,0.09487497114305372,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.604437076784975}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.564933750868394}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.604437076784975}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.564933750868394}]",SMAP,"[[5600, 5920]]",[point]
2024-03-11_11.04.26,E-6,2620,8040,1,0.0028644696304566683,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.97160974577909}, {'start_idx': 5390, 'end_idx': 5459, 'score': 15.155296838831347}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.644132568519863}, {'start_idx': 5530, 'end_idx': 5539, 'score': 9.496366658684963}]",0,0,1,[],"[(5570, 5789)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 19.97160974577909}, {'start_idx': 5390, 'end_idx': 5459, 'score': 15.155296838831347}, {'start_idx': 5460, 'end_idx': 5529, 'score': 10.644132568519863}, {'start_idx': 5530, 'end_idx': 5539, 'score': 9.496366658684963}]",SMAP,"[[5610, 5675]]",[point]
2024-03-11_11.04.26,E-7,2509,8050,1,0.019105022719932637,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.913963582002584}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.366001745874733}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.051719506880277}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.4576066818126}, {'start_idx': 5460, 'end_idx': 5516, 'score': 7.400015047575514}]",0,0,1,[],"[(5430, 5766)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 10.913963582002584}, {'start_idx': 5250, 'end_idx': 5319, 'score': 9.366001745874733}, {'start_idx': 5320, 'end_idx': 5389, 'score': 10.051719506880277}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.4576066818126}, {'start_idx': 5460, 'end_idx': 5516, 'score': 7.400015047575514}]",SMAP,"[[5394, 5674]]",[point]
2024-03-11_11.04.26,E-8,2620,8272,0,0.06580298536472227,[],0,1,0,[],[],1,[],SMAP,"[[5400, 6022]]",[point]
